DATA QUALITY REPORT
============================================================
Total rows: 2210
Date range: 2018-01-01 00:00:00 to 2026-06-19 00:00:00

Column                               Missing        %
-------------------------------------------------------
api2_coal                                  1     0.0%
biomass_pt                                 0     0.0%
coal_dark_spread                         674    30.5%
coal_gen_pt                                0     0.0%
curve_slope_yr                          1991    90.1%
demand_pt                                  0     0.0%
dow                                        0     0.0%
ect_term                                2210   100.0%
eua_co2                                  674    30.5%
eurusd                                     0     0.0%
exports_pt                                 0     0.0%
gas_ccgt_pt                                0     0.0%
gas_ccgt_share                             0     0.0%
gas_cogen_pt                               0     0.0%
gas_spark_spread                         674    30.5%
gas_total_pt                               0     0.0%
german_cal_futures                         0     0.0%
german_momentum_20d                       20     0.9%
german_momentum_65d                       65     2.9%
german_omip_spread                      1990    90.0%
hydro_anomaly                           2150    97.3%
hydro_anomaly_pct                       2150    97.3%
hydro_es                                2150    97.3%
hydro_gen_pt                               0     0.0%
hydro_iberia                            2150    97.3%
hydro_seasonal_avg                      1826    82.6%
imports_pt                                 0     0.0%
is_q1                                      0     0.0%
is_q3                                      0     0.0%
marginal_cost_proxy                      674    30.5%
month                                      0     0.0%
net_import_share                           0     0.0%
net_imports_pt                             0     0.0%
news_bearish_pct                        2130    96.4%
news_bullish_pct                        2130    96.4%
news_max_neg                            2130    96.4%
news_max_pos                            2130    96.4%
news_sentiment                          2130    96.4%
news_sentiment_ma20d                    2130    96.4%
news_sentiment_shift                    2131    96.4%
news_volume                             2130    96.4%
omie_spot                               1305    59.0%
omie_spot_monthly_avg                   1309    59.2%
omip_lag_10d                             614    27.8%
omip_lag_15d                             619    28.0%
omip_lag_1d                              605    27.4%
omip_lag_20d                             624    28.2%
omip_lag_25d                             629    28.5%
omip_lag_2d                              606    27.4%
omip_lag_30d                             634    28.7%
omip_lag_3d                              607    27.5%
omip_lag_5d                              609    27.6%
omip_lag_65d                             666    30.1%
omip_m_apr_18                           2162    97.8%
omip_m_apr_19                           2097    94.9%
omip_m_apr_20                           2097    94.9%
omip_m_apr_21                           2099    95.0%
omip_m_apr_22                           2080    94.1%
omip_m_apr_23                           2082    94.2%
omip_m_apr_24                           2084    94.3%
omip_m_apr_25                           2089    94.5%
omip_m_apr_26                           2083    94.3%
omip_m_aug_18                           2104    95.2%
omip_m_aug_19                           2093    94.7%
omip_m_aug_20                           2095    94.8%
omip_m_aug_21                           2102    95.1%
omip_m_aug_22                           2083    94.3%
omip_m_aug_23                           2084    94.3%
omip_m_aug_24                           2083    94.3%
omip_m_aug_25                           2084    94.3%
omip_m_aug_26                           2113    95.6%
omip_m_dec_18                           2093    94.7%
omip_m_dec_19                           2091    94.6%
omip_m_dec_20                           2093    94.7%
omip_m_dec_21                           2088    94.5%
omip_m_dec_22                           2080    94.1%
omip_m_dec_23                           2079    94.1%
omip_m_dec_24                           2080    94.1%
omip_m_dec_25                           2080    94.1%
omip_m_dec_26                           2195    99.3%
omip_m_feb_18                           2191    99.1%
omip_m_feb_19                           2095    94.8%
omip_m_feb_20                           2098    94.9%
omip_m_feb_21                           2092    94.7%
omip_m_feb_22                           2079    94.1%
omip_m_feb_23                           2080    94.1%
omip_m_feb_24                           2081    94.2%
omip_m_feb_25                           2087    94.4%
omip_m_feb_26                           2082    94.2%
omip_m_jan_19                           2094    94.8%
omip_m_jan_20                           2097    94.9%
omip_m_jan_21                           2090    94.6%
omip_m_jan_22                           2081    94.2%
omip_m_jan_23                           2081    94.2%
omip_m_jan_24                           2082    94.2%
omip_m_jan_25                           2081    94.2%
omip_m_jan_26                           2080    94.1%
omip_m_jul_18                           2105    95.2%
omip_m_jul_19                           2096    94.8%
omip_m_jul_20                           2095    94.8%
omip_m_jul_21                           2102    95.1%
omip_m_jul_22                           2083    94.3%
omip_m_jul_23                           2083    94.3%
omip_m_jul_24                           2084    94.3%
omip_m_jul_25                           2090    94.6%
omip_m_jul_26                           2092    94.7%
omip_m_jun_18                           2122    96.0%
omip_m_jun_19                           2098    94.9%
omip_m_jun_20                           2098    94.9%
omip_m_jun_21                           2100    95.0%
omip_m_jun_22                           2082    94.2%
omip_m_jun_23                           2084    94.3%
omip_m_jun_24                           2085    94.3%
omip_m_jun_25                           2092    94.7%
omip_m_jun_26                           2086    94.4%
omip_m_mar_18                           2175    98.4%
omip_m_mar_19                           2099    95.0%
omip_m_mar_20                           2101    95.1%
omip_m_mar_21                           2092    94.7%
omip_m_mar_22                           2081    94.2%
omip_m_mar_23                           2083    94.3%
omip_m_mar_24                           2083    94.3%
omip_m_mar_25                           2089    94.5%
omip_m_mar_26                           2083    94.3%
omip_m_may_18                           2143    97.0%
omip_m_may_19                           2098    94.9%
omip_m_may_20                           2099    95.0%
omip_m_may_21                           2100    95.0%
omip_m_may_22                           2082    94.2%
omip_m_may_23                           2085    94.3%
omip_m_may_24                           2085    94.3%
omip_m_may_25                           2092    94.7%
omip_m_may_26                           2086    94.4%
omip_m_nov_18                           2094    94.8%
omip_m_nov_19                           2088    94.5%
omip_m_nov_20                           2093    94.7%
omip_m_nov_21                           2090    94.6%
omip_m_nov_22                           2079    94.1%
omip_m_nov_23                           2079    94.1%
omip_m_nov_24                           2079    94.1%
omip_m_nov_25                           2079    94.1%
omip_m_nov_26                           2175    98.4%
omip_m_oct_18                           2095    94.8%
omip_m_oct_19                           2091    94.6%
omip_m_oct_20                           2093    94.7%
omip_m_oct_21                           2092    94.7%
omip_m_oct_22                           2081    94.2%
omip_m_oct_23                           2083    94.3%
omip_m_oct_24                           2081    94.2%
omip_m_oct_25                           2082    94.2%
omip_m_oct_26                           2155    97.5%
omip_m_sep_18                           2097    94.9%
omip_m_sep_19                           2090    94.6%
omip_m_sep_20                           2095    94.8%
omip_m_sep_21                           2099    95.0%
omip_m_sep_22                           2080    94.1%
omip_m_sep_23                           2081    94.2%
omip_m_sep_24                           2082    94.2%
omip_m_sep_25                           2083    94.3%
omip_m_sep_26                           2133    96.5%
omip_momentum_20d                        697    31.5%
omip_momentum_65d                        732    33.1%
omip_q1                                 1900    86.0%
omip_q1_19                              1990    90.0%
omip_q1_19_lag_10d                      1990    90.0%
omip_q1_19_lag_15d                      1990    90.0%
omip_q1_19_lag_1d                       1990    90.0%
omip_q1_19_lag_20d                      1990    90.0%
omip_q1_19_lag_25d                      1990    90.0%
omip_q1_19_lag_2d                       1990    90.0%
omip_q1_19_lag_30d                      1990    90.0%
omip_q1_19_lag_3d                       1990    90.0%
omip_q1_19_lag_5d                       1990    90.0%
omip_q1_19_lag_65d                      1990    90.0%
omip_q1_19_momentum_20d                 2039    92.3%
omip_q1_19_momentum_65d                 2061    93.3%
omip_q1_19_vol_20d                      1957    88.6%
omip_q1_19_vol_40d                      1958    88.6%
omip_q1_20                              1812    82.0%
omip_q1_20_lag_10d                      1812    82.0%
omip_q1_20_lag_15d                      1812    82.0%
omip_q1_20_lag_1d                       1812    82.0%
omip_q1_20_lag_20d                      1812    82.0%
omip_q1_20_lag_25d                      1812    82.0%
omip_q1_20_lag_2d                       1812    82.0%
omip_q1_20_lag_30d                      1812    82.0%
omip_q1_20_lag_3d                       1812    82.0%
omip_q1_20_lag_5d                       1812    82.0%
omip_q1_20_lag_65d                      1812    82.0%
omip_q1_20_momentum_20d                 1874    84.8%
omip_q1_20_momentum_65d                 1900    86.0%
omip_q1_20_vol_20d                      1767    80.0%
omip_q1_20_vol_40d                      1769    80.0%
omip_q1_21                              1805    81.7%
omip_q1_21_lag_10d                      1805    81.7%
omip_q1_21_lag_15d                      1805    81.7%
omip_q1_21_lag_1d                       1805    81.7%
omip_q1_21_lag_20d                      1805    81.7%
omip_q1_21_lag_25d                      1805    81.7%
omip_q1_21_lag_2d                       1805    81.7%
omip_q1_21_lag_30d                      1805    81.7%
omip_q1_21_lag_3d                       1805    81.7%
omip_q1_21_lag_5d                       1805    81.7%
omip_q1_21_lag_65d                      1805    81.7%
omip_q1_21_momentum_20d                 1865    84.4%
omip_q1_21_momentum_65d                 1900    86.0%
omip_q1_21_vol_20d                      1756    79.5%
omip_q1_21_vol_40d                      1762    79.7%
omip_q1_22                              1800    81.4%
omip_q1_22_lag_10d                      1800    81.4%
omip_q1_22_lag_15d                      1800    81.4%
omip_q1_22_lag_1d                       1800    81.4%
